"function evaluation" "best-so-far f(x)"
30 -3.40000e+01
67 -3.30000e+01
150 -3.20000e+01
261 -3.00000e+01
307 -2.90000e+01
338 -2.80000e+01
403 -2.70000e+01
493 -2.60000e+01
604 -2.50000e+01
676 -2.40000e+01
810 -2.30000e+01
989 -2.20000e+01
1117 -2.10000e+01
1214 -2.00000e+01
1288 -1.90000e+01
1503 -1.80000e+01
1958 -1.70000e+01
2077 -1.60000e+01
2106 -1.50000e+01
2175 -1.40000e+01
2342 -1.30000e+01
2590 -1.20000e+01
2920 -1.00000e+01
3205 -9.00000e+00
3295 -8.00000e+00
3422 -7.00000e+00
3763 -6.00000e+00
4034 -5.00000e+00
4222 -4.00000e+00
4269 -3.00000e+00
4592 -2.00000e+00
5296 -1.00000e+00
5475 +3.83000e+02
6325 +3.86000e+02
6342 +3.91000e+02
6732 +3.96000e+02
7388 +3.99000e+02
7729 +4.08000e+02
8657 +4.12000e+02
9207 +4.14000e+02
9951 +4.14000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
43 -3.40000e+01
100 -3.30000e+01
223 -3.20000e+01
309 -3.10000e+01
362 -3.00000e+01
428 -2.90000e+01
479 -2.80000e+01
573 -2.60000e+01
654 -2.50000e+01
683 -2.40000e+01
708 -2.30000e+01
845 -2.20000e+01
898 -2.10000e+01
1057 -2.00000e+01
1096 -1.90000e+01
1282 -1.80000e+01
1318 -1.70000e+01
1441 -1.60000e+01
1530 -1.50000e+01
1625 -1.40000e+01
1720 -1.30000e+01
1872 -1.20000e+01
2033 -1.10000e+01
2179 -1.00000e+01
2424 -9.00000e+00
2709 -8.00000e+00
3039 -7.00000e+00
3262 -6.00000e+00
3449 -5.00000e+00
3833 -4.00000e+00
4098 -3.00000e+00
4303 -2.00000e+00
4463 -1.00000e+00
4527 +3.67000e+02
4529 +3.69000e+02
4661 +3.70000e+02
5316 +3.80000e+02
5649 +3.91000e+02
5850 +3.95000e+02
6363 +4.05000e+02
6764 +4.06000e+02
7264 +4.07000e+02
8179 +4.08000e+02
8217 +4.14000e+02
8431 +4.15000e+02
9951 +4.15000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
35 -3.40000e+01
92 -3.30000e+01
131 -3.20000e+01
199 -3.10000e+01
310 -3.00000e+01
357 -2.90000e+01
411 -2.80000e+01
439 -2.70000e+01
